Word,Phonetic,Meanings,Examples
absence,ˈabs(ə)ns,"noun - the state of being away from a place or person. ","the letter had arrived during his absence;"

absent,null,"adjective - not present in a place, at an occasion, or as part of something. (of an expression or manner) showing that someone is not paying attention to what is being said or done. verb - go away or remain away. preposition - without. ","most pupils were absent from school at least once;she looked up with an absent smile;halfway through the meal, he absented himself from the table;absent a willingness to negotiate, you can't have collective bargaining;"

absolute,ˈabsəluːt,"adjective - not qualified or diminished in any way; total. viewed or existing independently and not in relation to other things; not relative or comparative. (of a construction) syntactically independent of the rest of the sentence, as in dinner being over, we left the table. noun - a value or principle which is regarded as universally valid or which may be viewed without relation to other things. ","absolute secrecy;absolute moral standards;null;good and evil are presented as absolutes;"

absolutely,ˈabsəluːtli,"adverb - with no qualification, restriction, or limitation; totally. not viewed in relation to other things. (of a verb) without a stated object. ","she trusted him absolutely;white-collar crime increased both absolutely and in comparison with other categories;null;"

absolve,əbˈzɒlv,"verb - declare (someone) free from guilt, obligation, or punishment. ","the pardon absolved them of any crimes;"

absorb,əbˈzɔːb,"verb - take in or soak up (energy or a liquid or other substance) by chemical or physical action. take up the attention of (someone); interest greatly. ","buildings can be designed to absorb and retain heat;she sat in an armchair, absorbed in a book;"

absorbed,əbˈsɔːbd,"adjective - (of energy or a liquid or other substance) taken in or soaked up. having one's attention fully engaged; greatly interested. ","the stones warm slowly throughout the day, then radiate absorbed heat at night;he was gazing into the water with absorbed attention;"
absorb,əbˈzɔːb,"verb - take in or soak up (energy or a liquid or other substance) by chemical or physical action. take up the attention of (someone); interest greatly. ","buildings can be designed to absorb and retain heat;she sat in an armchair, absorbed in a book;"

abstracted,əbˈstraktɪd,"adjective - lacking concentration on what is happening around one. ","she seemed abstracted and unaware of her surroundings;"
abstract,null,"verb - consider something theoretically or separately from (something else). extract or remove (something). make a written summary of (an article or book). ","to abstract science and religion from their historical context can lead to anachronism;applications to abstract more water from streams;staff who abstract material for an online database;"

absurd,əbˈsəːd,"adjective - wildly unreasonable, illogical, or inappropriate. noun - an absurd state of affairs. ","the allegations are patently absurd;the incidents that followed bordered on the absurd;"

absurdly,əbˈsəːdli,"adverb - in an absurd way; ridiculously. ","he brags absurdly about his horse;"

abuse,null,"verb - use (something) to bad effect or for a bad purpose; misuse. treat with cruelty or violence, especially regularly or repeatedly. speak to (someone) in an insulting and offensive way. noun - the improper use of something. cruel and violent treatment of a person or animal. insulting and offensive language. ","the judge abused his power by imposing the fines;riders who abuse their horses should be prosecuted;the referee was abused by players from both teams;alcohol abuse;a black eye and other signs of physical abuse;waving his fists and hurling abuse at the driver;"

abusive,əˈbjuːsɪv,"adjective - extremely offensive and insulting. engaging in or characterized by habitual violence and cruelty. involving injustice or illegality. ","the goalkeeper was sent off for using abusive language;abusive parents;the abusive and predatory practices of businesses;"

abut,əˈbʌt,"verb - (of a building or an area of land) be next to or have a common boundary with. ","gardens abutting Great Prescott Street;"

accept,əkˈsɛpt,"verb - consent to receive or undertake (something offered). believe or come to recognize (a proposition) as valid or correct. ","he accepted a pen as a present;this tentative explanation came to be accepted by the men;"

acceptance,əkˈsɛpt(ə)ns,"noun - the action of consenting to receive or undertake something offered. the process or fact of being received as adequate, valid, or suitable. agreement with or belief in an idea or explanation. ","charges involving the acceptance of bribes;you must wait for acceptance into the village;acceptance of the teaching of the Church;"

accepted,əkˈsɛptɪd,"adjective - generally believed or recognized to be valid or correct. ","he wasn't handsome in the accepted sense;"
accept,əkˈsɛpt,"verb - consent to receive or undertake (something offered). believe or come to recognize (a proposition) as valid or correct. ","he accepted a pen as a present;this tentative explanation came to be accepted by the men;"

accept,əkˈsɛpt,"verb - consent to receive or undertake (something offered). believe or come to recognize (a proposition) as valid or correct. ","he accepted a pen as a present;this tentative explanation came to be accepted by the men;"

accept,əkˈsɛpt,"verb - consent to receive or undertake (something offered). believe or come to recognize (a proposition) as valid or correct. ","he accepted a pen as a present;this tentative explanation came to be accepted by the men;"

accessory,əkˈsɛs(ə)ri,"noun - a thing which can be added to something else in order to make it more useful, versatile, or attractive. someone who gives assistance to the perpetrator of a crime without taking part in it. adjective - contributing to or aiding an activity or process in a minor way; subsidiary or supplementary. ","optional accessories include a battery charger and shoulder strap;she was charged as an accessory to murder;functionally the maxillae are a pair of accessory jaws;"

accident,ˈaksɪd(ə)nt,"noun - an unfortunate incident that happens unexpectedly and unintentionally, typically resulting in damage or injury. an event that happens by chance or that is without apparent or deliberate cause. (in Aristotelian thought) a property of a thing which is not essential to its nature. ","he had an accident at the factory;the pregnancy was an accident;null;"

accidental,aksɪˈdɛnt(ə)l,"adjective - happening by chance, unintentionally, or unexpectedly. incidental; subsidiary. (in Aristotelian thought) relating to or denoting properties which are not essential to a thing's nature. noun - a sign indicating a momentary departure from the key signature by raising or lowering a note. another term for vagrant. ","a verdict of accidental death;the location is accidental and contributes nothing to the poem;null;horn parts are usually written without key signature, the necessary accidentals being added;null;"

accommodate,əˈkɒmədeɪt,"verb - (of a building or other area) provide lodging or sufficient space for. fit in with the wishes or needs of. ","the cottages accommodate up to six people;any language must accommodate new concepts;"

accompany,əˈkʌmpəni,"verb - go somewhere with (someone) as a companion or escort. be present or occur at the same time as (something else). play a musical accompaniment for. ","the two sisters were to accompany us to London;the illness is often accompanied by nausea;he would play his violin, and Mother used to accompany him on our organ;"

accompany,əˈkʌmpəni,"verb - go somewhere with (someone) as a companion or escort. be present or occur at the same time as (something else). play a musical accompaniment for. ","the two sisters were to accompany us to London;the illness is often accompanied by nausea;he would play his violin, and Mother used to accompany him on our organ;"

accompanying,əˈkʌmp(ə)nɪɪŋ,"adjective - provided or occurring at the same time as something else. ","the accompanying documentation;"
accompany,əˈkʌmpəni,"verb - go somewhere with (someone) as a companion or escort. be present or occur at the same time as (something else). play a musical accompaniment for. ","the two sisters were to accompany us to London;the illness is often accompanied by nausea;he would play his violin, and Mother used to accompany him on our organ;"

accomplished,əˈkʌmplɪʃt,"adjective - highly trained or skilled in a particular activity. ","an accomplished pianist;"
accomplish,əˈkʌmplɪʃ,"verb - achieve or complete successfully. ","the planes accomplished their mission;"

according,əˈkɔːdɪŋ,"adverb - as stated by or in. depending on whether. ","the outlook for investors is not bright, according to financial experts;the distribution of his property differed widely according as it was real or personal estate;"
accord,əˈkɔːd,"verb - give or grant someone (power, status, or recognition). (of a concept or fact) be harmonious or consistent with. ","the powers accorded to the head of state;his views accorded well with those of Merivale;"

account,əˈkaʊnt,"noun - a report or description of an event or experience. a record or statement of financial expenditure and receipts relating to a particular period or purpose. an arrangement by which a body holds funds on behalf of a client or supplies goods or services to them on credit. an arrangement by which a user is given personalized access to a computer, website, or application, typically by entering a username and password. importance. verb - consider or regard in a specified way. prepare or present a record an account of money given or received. ","a detailed account of what has been achieved;the barman was doing his accounts;a bank account;we've reset your password to prevent others from accessing your account;money was of no account to her;her visit could not be accounted a success;in order that he may be able to account accurately, the trustee should not mingle the trust property with other property;"

accountant,əˈkaʊnt(ə)nt,"noun - a person whose job is to keep, inspect, and analyse financial accounts. ","null;"

account,əˈkaʊnt,"noun - a report or description of an event or experience. a record or statement of financial expenditure and receipts relating to a particular period or purpose. an arrangement by which a body holds funds on behalf of a client or supplies goods or services to them on credit. an arrangement by which a user is given personalized access to a computer, website, or application, typically by entering a username and password. importance. verb - consider or regard in a specified way. prepare or present a record an account of money given or received. ","a detailed account of what has been achieved;the barman was doing his accounts;a bank account;we've reset your password to prevent others from accessing your account;money was of no account to her;her visit could not be accounted a success;in order that he may be able to account accurately, the trustee should not mingle the trust property with other property;"

accumulate,əˈkjuːmjʊleɪt,"verb - gather together or acquire an increasing number or quantity of. ","investigators have yet to accumulate enough evidence;"

accumulation,əkjuːmjʊˈleɪʃ(ə)n,"noun - the acquisition or gradual gathering of something. ","the accumulation of wealth;"

accurate,ˈakjʊrət,"adjective - (especially of information, measurements, or predictions) correct in all details; exact. (with reference to a weapon, missile, or shot) capable of or successful in reaching the intended target. ","accurate information about the illness is essential;reliable, accurate rifles;"

accurately,ˈakjərətli,"adverb - in a way that is correct in all details; exactly. ","we are simply unable to predict long-term trends accurately;"

accused,əˈkjuːzd,"noun - a person or group of people who are charged with or on trial for a crime. ","the accused was ordered to stand trial on a number of charges;"
accuse,əˈkjuːz,"verb - charge (someone) with an offence or crime. ","he was accused of murdering his wife's lover;"

accustomed,əˈkʌstəmd,"adjective - customary; usual. ","his accustomed route;"
accustom,əˈkʌstəm,"verb - make someone or something accept (something) as normal or usual. ","I accustomed my eyes to the lenses;"

achieve,əˈtʃiːv,"verb - successfully bring about or reach (a desired objective or result) by effort, skill, or courage. ","he achieved his ambition to become a press photographer;"

acid,ˈasɪd,"noun - a substance with particular chemical properties including turning litmus red, neutralizing alkalis, and dissolving some metals; typically, a corrosive or sour-tasting liquid of this kind. a molecule or other species which can donate a proton or accept an electron pair in reactions. the drug LSD. adjective - containing acid or having the properties of an acid; having a pH of less than 7. sharp-tasting or sour. (of rock, especially lava) containing a relatively high proportion of silica. ","trees were exposed to mixtures of heavy metals, acids, and overdoses of nutrients;null;she didn't have a clue the sweet had acid in it;acid soils;acid fruit;the magma may start off fairly basic and end up at the close of the eruption much more acid;"

acknowledge,əkˈnɒlɪdʒ,"verb - accept or admit the existence or truth of. recognize the importance or quality of. show that one has noticed or recognized (someone) by making a gesture or greeting. ","the plight of the refugees was acknowledged by the authorities;the art world has begun to acknowledge his genius;she refused to acknowledge my presence;"

acknowledge,əkˈnɒlɪdʒ,"verb - accept or admit the existence or truth of. recognize the importance or quality of. show that one has noticed or recognized (someone) by making a gesture or greeting. ","the plight of the refugees was acknowledged by the authorities;the art world has begun to acknowledge his genius;she refused to acknowledge my presence;"

acquaintance,əˈkweɪnt(ə)ns,"noun - knowledge or experience of something. a person one knows slightly, but who is not a close friend. ","the pupils had little acquaintance with the language;a wide circle of friends and acquaintances;"

acquiesce,ˌakwɪˈɛs,"verb - accept something reluctantly but without protest. ","Sara acquiesced in his decision;"

acquire,əˈkwʌɪə,"verb - buy or obtain (an asset or object) for oneself. learn or develop (a skill, habit, or quality). ","I managed to acquire all the books I needed;you must acquire the rudiments of Greek;"

acquire,əˈkwʌɪə,"verb - buy or obtain (an asset or object) for oneself. learn or develop (a skill, habit, or quality). ","I managed to acquire all the books I needed;you must acquire the rudiments of Greek;"

acquirement,əˈkwʌɪəm(ə)nt,"noun - the action of acquiring something. ","the acquirement of self control;"

acquit,əˈkwɪt,"verb - free (someone) from a criminal charge by a verdict of not guilty. conduct oneself or perform in a specified way. ","she was acquitted on all counts;the goalkeeper acquitted himself well;"

acre,ˈeɪkə,"noun - a unit of land area equal to 4,840 square yards (0.405 hectare). ","he farms 1,200 acres in East Yorkshire;"

across,əˈkrɒs,"preposition - from one side to the other of (a place, area, etc.). expressing position or orientation in relation to (an area or passage). adverb - from one side to the other of a place, area, etc. used to express position or orientation. referring to a crossword answer which reads horizontally. ","I ran across the street;they lived across the street from one another;he had swum across;he looked across at me;19 across;"

act,akt,"verb - take action; do something. behave in the way specified. take effect; have a particular effect. perform a role in a play, film, or television. noun - a thing done; a deed. a pretence. a written law passed by Parliament, Congress, etc. a main division of a play, ballet, or opera. ","they urged Washington to act;they challenged a man who was seen acting suspiciously;blood samples are analysed to find out how the drug acts in the body;she acted in her first professional role at the age of six;a criminal act;she was putting on an act and laughing a lot;the 1989 Children Act;the first act;"
ACT,eɪsiːˈtiː,"abbreviation - advance corporation tax. Australian Capital Territory. ","null;null;"

act,akt,"verb - take action; do something. behave in the way specified. take effect; have a particular effect. perform a role in a play, film, or television. ","they urged Washington to act;they challenged a man who was seen acting suspiciously;blood samples are analysed to find out how the drug acts in the body;she acted in her first professional role at the age of six;"

acting,ˈaktɪŋ,"noun - the art or occupation of performing fictional roles in plays, films, or television. adjective - temporarily doing the duties of another person. ","she studied acting in New York;the acting supervisor;"
act,akt,"verb - take action; do something. behave in the way specified. take effect; have a particular effect. perform a role in a play, film, or television. ","they urged Washington to act;they challenged a man who was seen acting suspiciously;blood samples are analysed to find out how the drug acts in the body;she acted in her first professional role at the age of six;"

action,ˈakʃ(ə)n,"noun - the fact or process of doing something, typically to achieve an aim. a thing done; an act. the way in which something works or moves. armed conflict. legal proceedings; a lawsuit. verb - take action on; deal with. ","ending child labour will require action on many levels;she frequently questioned his actions;the weapon has a smooth action;servicemen listed as missing in action during the war;a civil action for damages;your request will be actioned;"

actionable,ˈakʃ(ə)nəb(ə)l,"adjective - giving sufficient reason to take legal action. able to be done or acted on; having practical value. ","an actionable assertion;insightful and actionable information on the effect advertising is having on your brand;"

action,ˈakʃ(ə)n,"noun - the fact or process of doing something, typically to achieve an aim. a thing done; an act. the way in which something works or moves. armed conflict. legal proceedings; a lawsuit. verb - take action on; deal with. ","ending child labour will require action on many levels;she frequently questioned his actions;the weapon has a smooth action;servicemen listed as missing in action during the war;a civil action for damages;your request will be actioned;"

active,ˈaktɪv,"adjective - engaging or ready to engage in physically energetic pursuits. pursuing an occupation or activity at a particular place or in a particular way. (of a thing) working; operative. denoting a voice of verbs in which the subject is typically the person or thing performing the action and which can take a direct object (e.g. she loved him as opposed to the passive form he was loved ). noun - an active form of a verb. ","although he was seventy he was still robust and active;the artist was active in the 1920s;the old watermill was active until 1960;null;null;"

actor,ˈaktə,"noun - a person whose profession is acting on the stage, in films, or on television. a participant in an action or process. ","null;employers are key actors within industrial relations;"

actress,ˈaktrəs,"noun - a woman whose profession is acting on stage, in films, or on television. ","she is one of the great actresses of her generation;"

act,akt,"verb - take action; do something. behave in the way specified. take effect; have a particular effect. perform a role in a play, film, or television. noun - a thing done; a deed. a pretence. a written law passed by Parliament, Congress, etc. a main division of a play, ballet, or opera. ","they urged Washington to act;they challenged a man who was seen acting suspiciously;blood samples are analysed to find out how the drug acts in the body;she acted in her first professional role at the age of six;a criminal act;she was putting on an act and laughing a lot;the 1989 Children Act;the first act;"

actual,ˈaktʃʊəl,"adjective - existing in fact; real. existing now; current. ","the estimate was much less than the actual cost;using actual income to measure expected income;"

actually,ˈaktʃəli,"adverb - as the truth or facts of a situation; really. used to emphasize that something someone has said or done is surprising. ","we must pay attention to what young people are actually doing;he actually expected me to be pleased about it!;"

acute,əˈkjuːt,"adjective - (of an unpleasant or unwelcome situation or phenomenon) present or experienced to a severe or intense degree. having or showing a perceptive understanding or insight; shrewd. (of an angle) less than 90°. (of a sound) high; shrill. noun - short for acute accent. ","an acute housing shortage;an acute awareness of changing fashions;null;null;null;"

adapt,əˈdapt,"verb - make (something) suitable for a new use or purpose; modify. ","hospitals have had to be adapted for modern medical practice;"

adapt,əˈdapt,"verb - make (something) suitable for a new use or purpose; modify. ","hospitals have had to be adapted for modern medical practice;"

add,ad,"verb - join (something) to something else so as to increase the size, number, or amount. put in (an additional element, ingredient, etc.). put together (two or more numbers or amounts) to calculate their total value. say as a further remark. ","I've started a petition so if you would like to add your name, email me;chlorine is added to the water to kill bacteria;in this example, all the odd numbers between 1 and 10 are added together;�?I hope we haven't been too much trouble,’ she added politely;"
ADD,eɪdiːˈdiː,"abbreviation - analogue digital digital, indicating that a music recording was made in analogue format before being mastered and stored digitally. attention deficit disorder. ","null;null;"
attention deficit disorder,null,"noun - any of a range of behavioural disorders occurring primarily in children, including such symptoms as poor concentration, hyperactivity, and learning difficulties. ","null;"

added,ˈadɪd,"adjective - denoting an increased or enhancing quality or factor. ","one vitamin tablet daily will give added protection;"
add,ad,"verb - join (something) to something else so as to increase the size, number, or amount. put in (an additional element, ingredient, etc.). put together (two or more numbers or amounts) to calculate their total value. say as a further remark. ","I've started a petition so if you would like to add your name, email me;chlorine is added to the water to kill bacteria;in this example, all the odd numbers between 1 and 10 are added together;�?I hope we haven't been too much trouble,’ she added politely;"

addicted,əˈdɪktɪd,"adjective - physically and mentally dependent on a particular substance. ","she became addicted to alcohol and diet pills;"

add,ad,"verb - join (something) to something else so as to increase the size, number, or amount. put in (an additional element, ingredient, etc.). put together (two or more numbers or amounts) to calculate their total value. say as a further remark. ","I've started a petition so if you would like to add your name, email me;chlorine is added to the water to kill bacteria;in this example, all the odd numbers between 1 and 10 are added together;�?I hope we haven't been too much trouble,’ she added politely;"

addition,əˈdɪʃ(ə)n,"noun - the action or process of adding something to something else. the process of calculating the total of two or more numbers or amounts. ","the hotel has been extended with the addition of more rooms;she began with simple arithmetic, addition and then subtraction;"

additional,əˈdɪʃ(ə)n(ə)l,"adjective - added, extra, or supplementary to what is already present or available. ","we require additional information;"

addition,əˈdɪʃ(ə)n,"noun - the action or process of adding something to something else. ","the hotel has been extended with the addition of more rooms;"

address,əˈdrɛs,"noun - the particulars of the place where someone lives or an organization is situated. a formal speech delivered to an audience. skill, dexterity, or readiness. verb - write the name and address of the intended recipient on (an envelope, letter, or parcel). speak to (a person or an assembly). think about and begin to deal with (an issue or problem). take up one's stance and prepare to hit (the ball). ","they exchanged addresses and agreed to keep in touch;an address to the European Parliament;he rescued me with the most consummate address;I addressed my letter to him personally;she addressed the open-air meeting;a fundamental problem has still to be addressed;ensure that your weight is evenly spread when you address the ball;"

addressed,əˈdrɛst,"adjective - (of an envelope or parcel) bearing the name and address of the intended recipient. ","please enclose a stamped addressed envelope;"
address,əˈdrɛs,"verb - write the name and address of the intended recipient on (an envelope, letter, or parcel). speak to (a person or an assembly). think about and begin to deal with (an issue or problem). take up one's stance and prepare to hit (the ball). ","I addressed my letter to him personally;she addressed the open-air meeting;a fundamental problem has still to be addressed;ensure that your weight is evenly spread when you address the ball;"

address,əˈdrɛs,"verb - write the name and address of the intended recipient on (an envelope, letter, or parcel). speak to (a person or an assembly). think about and begin to deal with (an issue or problem). take up one's stance and prepare to hit (the ball). ","I addressed my letter to him personally;she addressed the open-air meeting;a fundamental problem has still to be addressed;ensure that your weight is evenly spread when you address the ball;"

add,ad,"verb - join (something) to something else so as to increase the size, number, or amount. put in (an additional element, ingredient, etc.). put together (two or more numbers or amounts) to calculate their total value. say as a further remark. ","I've started a petition so if you would like to add your name, email me;chlorine is added to the water to kill bacteria;in this example, all the odd numbers between 1 and 10 are added together;�?I hope we haven't been too much trouble,’ she added politely;"

adjective,ˈadʒɪktɪv,"noun - a word naming an attribute of a noun, such as sweet, red, or technical. ","null;"

adjust,əˈdʒʌst,"verb - alter or move (something) slightly in order to achieve the desired fit, appearance, or result. assess (loss or damages) when settling an insurance claim. ","he smoothed his hair and adjusted his tie;the insurance agent may have the responsibility of adjusting small losses;"

admirable,ˈadm(ə)rəb(ə)l,"adjective - arousing or deserving respect and approval. ","he has one admirable quality—he is totally honest;"

admirably,ˈadmərəbli,"adverb - in a way that arouses or deserves respect and approval. ","he behaved himself admirably;"

admiration,adməˈreɪʃ(ə)n,"noun - respect and warm approval. ","I have the greatest admiration for all those involved in the project;"

admire,ədˈmʌɪə,"verb - regard with respect or warm approval. ","I admire your courage;"

admirer,ədˈmʌɪərə,"noun - a person who has a particular regard for someone or something. ","he was a great admirer of Henry James;"

admiring,ədˈmʌɪərɪŋ,"adjective - characterized by or expressive of admiration or warm approval. ","the snowman has drawn many an admiring glance from villagers;"
admire,ədˈmʌɪə,"verb - regard with respect or warm approval. ","I admire your courage;"

admit,ədˈmɪt,"verb - confess to be true or to be the case. allow (someone) to enter a place. accept as valid. allow the possibility of. ","the Home Office finally admitted that several prisoners had been injured;old-age pensioners are admitted free to the museum;the courts can refuse to admit police evidence which has been illegally obtained;the need to inform him was too urgent to admit of further delay;"

admit,ədˈmɪt,"verb - confess to be true or to be the case. allow (someone) to enter a place. accept as valid. allow the possibility of. ","the Home Office finally admitted that several prisoners had been injured;old-age pensioners are admitted free to the museum;the courts can refuse to admit police evidence which has been illegally obtained;the need to inform him was too urgent to admit of further delay;"

ado,əˈduː,"noun - a state of agitation or fuss, especially about something unimportant. ","this is much ado about almost nothing;"
-ado,ˈɑːdəʊ,"suffix - forming nouns such as bravado, desperado. ","null;"

adopt,əˈdɒpt,"verb - legally take (another's child) and bring it up as one's own. choose to take up, follow, or use. take on or assume (an attitude or position). (of a local authority) accept responsibility for the maintenance of (a road). ","there are many people eager to adopt a baby;this approach has been adopted by many big banks;he adopted a patronizing tone;null;"

advance,ədˈvɑːns,"verb - move forwards in a purposeful way. make or cause to make progress. put forward (a theory or suggestion). lend (money) to (someone). noun - a forward movement. a development or improvement. an amount of money paid before it is due or for work only partly completed. an approach made to someone with the aim of initiating sexual or amorous relations. adjective - done, sent, or supplied beforehand. ","he advanced towards the dispatch box;our knowledge is advancing all the time;the hypothesis I wish to advance in this article;the building society advanced them a loan;the rebels' advance on Madrid was well under way;advances in engineering techniques;the author was paid a £250,000 advance;her tutor made advances to her;advance notice;"

advanced,adˈvɑːnst,"adjective - modern and recently developed. far on or ahead in development or progress. (of a clock or watch) showing a time ahead of the correct time. ","the team developed advanced techniques for measuring and controlling the noise of the submarines;negotiations are at an advanced stage;my watch is advanced;"
advance,ədˈvɑːns,"verb - move forwards in a purposeful way. make or cause to make progress. put forward (a theory or suggestion). lend (money) to (someone). ","he advanced towards the dispatch box;our knowledge is advancing all the time;the hypothesis I wish to advance in this article;the building society advanced them a loan;"

advance,ədˈvɑːns,"verb - move forwards in a purposeful way. make or cause to make progress. put forward (a theory or suggestion). lend (money) to (someone). ","he advanced towards the dispatch box;our knowledge is advancing all the time;the hypothesis I wish to advance in this article;the building society advanced them a loan;"

advantage,ədˈvɑːntɪdʒ,"noun - a condition or circumstance that puts one in a favourable or superior position. verb - put in a favourable or superior position. ","companies with a computerized database are at an advantage;null;"

advantage,ədˈvɑːntɪdʒ,"noun - a condition or circumstance that puts one in a favourable or superior position. verb - put in a favourable or superior position. ","companies with a computerized database are at an advantage;null;"

adventure,ədˈvɛntʃə,"noun - an unusual and exciting or daring experience. verb - engage in daring or risky activity. ","her recent adventures in Italy;they had adventured into the forest;"

adventure,ədˈvɛntʃə,"noun - an unusual and exciting or daring experience. verb - engage in daring or risky activity. ","her recent adventures in Italy;they had adventured into the forest;"

advertise,ˈadvətʌɪz,"verb - describe or draw attention to (a product, service, or event) in a public medium in order to promote sales or attendance. ","a billboard advertising beer;"

advertisement,ədˈvəːtɪzm(ə)nt,"noun - a notice or announcement in a public medium promoting a product, service, or event or publicizing a job vacancy. ","advertisements for alcoholic drinks;"

advertising,ˈadvətʌɪzɪŋ,"noun - the activity or profession of producing advertisements for commercial products or services. ","an advertising agency;"
advertise,ˈadvətʌɪz,"verb - describe or draw attention to (a product, service, or event) in a public medium in order to promote sales or attendance. ","a billboard advertising beer;"

advice,ədˈvʌɪs,"noun - guidance or recommendations offered with regard to prudent future action. a formal notice of a financial transaction. information; news. ","my advice is to see your doctor;remittance advices;the want of fresh advices from Europe;"

advise,ədˈvʌɪz,"verb - offer suggestions about the best course of action to someone. ","I advised him to go home;"

advised,ədˈvʌɪzd,"adjective - acting in a way that would be recommended; sensible; wise. ","you would be advised to check on increases to your pension;"
advise,ədˈvʌɪz,"verb - offer suggestions about the best course of action to someone. ","I advised him to go home;"

adviser,ədˈvʌɪzə,"noun - a person who gives advice in a particular field. ","null;"

advocate,null,"noun - a person who publicly supports or recommends a particular cause or policy. a person who puts a case on someone else's behalf. verb - publicly recommend or support. ","he was an untiring advocate of economic reform;care managers can become advocates for their clients;voters supported candidates who advocated an Assembly;"

affair,əˈfɛː,"noun - an event or sequence of events of a specified kind or that has previously been referred to. a sexual relationship between two people, one or both of whom are married to someone else. an object of a particular type. ","the board admitted responsibility for the affair;his wife is having an affair;her dress was a black low-cut affair;"

affaire,aˈfɛː,"noun - a love affair. ","null;"
affairé,aˈfɛːreɪ,"adjective - busy; involved. ","null;"

affair,əˈfɛː,"noun - an event or sequence of events of a specified kind or that has previously been referred to. a sexual relationship between two people, one or both of whom are married to someone else. an object of a particular type. ","the board admitted responsibility for the affair;his wife is having an affair;her dress was a black low-cut affair;"

affect,əˈfɛkt,"verb - have an effect on; make a difference to. ","the dampness began to affect my health;"
affect,əˈfɛkt,"verb - pretend to have or feel (something). ","as usual I affected a supreme unconcern;"
affect,ˈafɛkt,"noun - emotion or desire as influencing behaviour. ","null;"

affected,əˈfɛktɪd,"adjective - influenced or touched by an external factor. artificial, pretentious, and designed to impress. disposed or inclined in a specified way. ","affected areas;the gesture appeared both affected and stagy;you might become differently affected towards him;"
affect,əˈfɛkt,"verb - have an effect on; make a difference to. ","the dampness began to affect my health;"
affect,əˈfɛkt,"verb - pretend to have or feel (something). ","as usual I affected a supreme unconcern;"

affecting,əˈfɛktɪŋ,"adjective - touching the emotions; moving. ","a highly affecting account of her experiences in prison;"
affect,əˈfɛkt,"verb - have an effect on; make a difference to. ","the dampness began to affect my health;"
affect,əˈfɛkt,"verb - pretend to have or feel (something). ","as usual I affected a supreme unconcern;"

affection,əˈfɛkʃ(ə)n,"noun - a gentle feeling of fondness or liking. the action or process of affecting or being affected. ","she felt affection for the wise old lady;null;"

